Artist,Title,Lyrics
Omar Apollo,Kamikaze,"[Intro]
Stay back, stay back, stay back, stay back, stay back, stay back
For what? For what? For what? For what? For what? For what?
[Verse 1]
Got someone to cover me, I work the late shift
Drive through Georgia, nineteen hours on vacation
I ain't never left the state, man, I've been waitin'
And that pretty boy still hit me up on strange occasions (Ooh, ooh, ooh)
[Chorus]
We was kids and we was younger (Was younger)
I stop to wonder (Ooh, ooh, ooh)
I'm naive, but I remember
Rain drop December (Ooh, ooh, ooh)
I've been wondering if you'd call me (If you'd call me)
Move like tsunamis (Ooh, ooh, ooh)
Now we're strangers in this lobby (In this lobby)
Like kamikaze (Ooh, ooh, ooh)
[Verse 2]
I ain't really know you was frеaky though
Ass round like Cheerios
And you got a lil' Vimeo
What's the password? You just frozе
Don't you got enough material?
Say you gotta go, vámonos
And I told you just leave me alone (Leave me alone)
Yeah, I told you just leave me alone
[Refrain]
Yeah, it really don't feel good, does it? 
Pop shuv it
You don't ever say, ""My bad,"" you nothing, you nothing
Told me that I wasn't worth shit, you buggin', you buggin'
If you wasn't so selfish, you love it, you love it
[Verse 3]
I'm still driving all alone, it's automatic
My eyes are tired, I'm drivin' slow, no sign of traffic
I pull over, go to sleep, listen to classics (Hmm, hmm, hmm)
Think of you, and you and me, 'cause I'm an addict (Ooh, ooh, ooh)
[Chorus]
We was kids and we was younger
I stop to wonder (Ooh, ooh, ooh)
I'm naive, but I remember
Rain drop December (Ooh, ooh, ooh)
I've been wondering if you'd call me
Move like tsunamis (Ooh, ooh, ooh)
Now we're strangers in this lobby
Like kamikaze (Ooh, ooh, ooh)
[Post-Chorus]
Fuck you, boy
I'ma leave this state and never come back
I'ma never come back to you ever again
(Oh woah, oh woah, oh woah, oh)
(Oh woah, oh woah, oh woah, oh)
(Remember when you let me down)
[Refrain]
Yeah, it really don't feel good, does it? Pop shuv it
You don't ever say my bad, you nothing, you nothing
Told me that I wasn't worth shit, you buggin', you buggin'
If you wasn't so selfish, you love it, you love it
[Outro]
Yeah
Yeah, yeah, yeah, yeah
Woo-woo, woo-woo, woo-woo, woo-woo, woo-woo"
Childish Gambino,Me and Your Mama,"[Intro]
I'm in love when we are smoking that la-la-la-la-la
I'm in love when we are smoking that la-la-la-la-la
I'm in love when we are smoking that la-la-la-la-la
I'm in love when we are smoking that la-la-la-la-la
I'm in love when we are smoking that la-la-la-la-la
I'm in love when we are smoking that la-la-la-la-la
I'm in love when we are smoking that la-la-la-la-la
I'm in love when we are smoking that la-la-la-la-la
[Chorus 1]
Do what you want
(I'm telling you…) Let me into your heart
[Verse 1]
Can't stand it, backhanded
They wanna see us falling apart
You know that I love you
So let me into you
[Chorus 2]
Let me into your heart
(Do you really love me? I'ma get you, girl, ahhh!)
[Verse 2]
This is the end of us
Sleeping with the moon and the stars
I know where you've been
You can see us far then near
[Chorus 3]
Let me into your heart
(Oh, this ain't no bullshit, I really love you, girl)
Oh, oh, god
[Bridge]
Girl, you really got a hold on me
So this isn't just puppy love
Girl, you really got a hold on me
So this isn't just puppy love
[Outro]
I'm in love when we are smokin' that
(Oh my God, I)
Let me in
 
(Girl, you really got a hold, woo!)"
Cannons,Bright Lights,"[Verse 1]
These brick walls are tumbling down
Hitting me on the head
My whole world is crumbling down
I don't know know to act
[Pre-Chorus]
I rode the wave 'til it crashed down
Maybe I should leave this sad town
I rode the wave 'til it crashed down
Nothing is holding me back now
[Chorus]
And all these bright lights
They've got me going blind
And all these bright lights
They got me losing my mind
[Verse 2]
This whole town is wearing me down
I'm hanging by a thread
Falling fast now, I hit the ground
I don't know who I am
[Pre-Chorus]
I rode the wave 'til it crashed down
Maybe I should leave this sad town
I rode the wave 'til it crashed down
Nothing is holding me back now
[Chorus]
And all these bright lights
They've got me going blind
And all these bright lights
They got me losing my mind
And all these bright lights
They've got me going blind
And all these bright lights
They got me losing my mind
And all these bright lights
They've got me going blind
And all these bright lights
They got me losing my mind
And all these bright lights
They've got me going blind
And all these bright lights
They got me losing my mind"
Orville Peck,Dead of Night,"[Verse 1]
The sun goes down, another dreamless night
You're right by my side
You wake me up, you say it's time to ride
In the dead of night
Strange canyon road, strange look in your eyes
You shut them as we fly
As we fly
[Verse 2]
Stark, hollow town, 
Carson City lights
Baby, let's get high
Spend a Johnny's cash
, hitch another ride
We laugh until we cry
You say, ""Go fast,"" I say, ""Hold on tight""
In the dead of night
Dead of night
[Chorus]
See
See the boys as they walk on by
See
See the boys as they walk on by
(By)
As they walk on by
(By)
As they walk on by
(By)
As they walk on by
It's enough to make a young man—
[Verse 3]
Six summers down, another dreamless night
You're not by my side
Scratch on the moon like a familiar smile
Stained on my mind
Some other town, someone else's life
Dead in the night
In the night
[Chorus]
See
See the boys as they walk on by
See
See the boys as they walk on by
See
See the boys as they walk on by
(By)
As they walk on by
(By)
As they walk on by
(By)
As they walk on by
It's enough to make a young man—"
Bad Bunny,Tití Me Preguntó,"[Letra de ""Tití Me Preguntó""]
[Intro: Bad Bunny]
Ey
[Coro: Bad Bunny]
Tití me preguntó si tengo mucha' novia', mucha' novia'
Hoy tengo a una, mañana otra, ey, pero no hay boda
Tití me preguntó si tengo mucha' novia', je, mucha' novia'
Hoy tengo a una, mañana otra
[Refrán: Bad Bunny]
Me la' vo'a llevar a to'a pa' un VIP, un VIP, ey
Saluden a Tití
Vamo' a tirarno' un selfie, say ""cheese"", ey
Que sonrían las que ya les metí
En un VIP,  un VIP, ey
Saluden a Tití
Vamo' a tirarno' un selfie, say ""cheese""
Que sonrían las que ya se olvidaron de mí
[Verso 1: Bad Bunny]
Me gustan mucho las Gabriela
Las Patricia, las Nicole, las Sofía
Mi primera novia en kinder, María
Y mi primer amor se llamaba Thalía
Tengo una colombiana que mе escribe to' los día'
Y una mexicana quе ni yo sabía
Otra en San Antonio que me quiere todavía
Y las de PR que todita' son mía'
Una dominicana que es uva bombón
Uva, uva bombón
La de Barcelona que vino en avión
Y dice que mi bicho está cabrón
Yo dejo que jueguen con mi corazón
Quisiera mudarme con toda' pa' una mansión
El día que me case te envío la invitación
Muchacho, deja eso, ey
[Coro: Bad Bunny]
Tití me preguntó si tengo mucha' novia', mucha' novia'
Hoy tengo una, mañana otra, ey, pero no hay boda
Tití me preguntó si tengo mucha' novia', ey, ey, mucha' novia'
Hoy tengo una, mañana otra (Mañana otra; ¡rra!)
[Post-Coro: Bad Bunny & 
Kiko El Crazy
]
Tití me preguntó-tó-tó-tó-tó-tó-tó-tó
Tití me preguntó-tó-tó-tó-tó-tó-tó-tó (
Qué pámpara
)
Tití me preguntó-tó-tó-tó-tó-tó-tó-tó
Tití me preguntó-tó-tó-tó-tó (
Pero ven acá, muchacho, ¿y para qué tú quiere' tanta' novia'?
)
[Refrán: Bad Bunny]
Me la' vo'a llevar a to'a pa' un VIP, un VIP, ey
Saluden a Tití
Vamo' a tirarno' un selfie, say ""cheese"", ey
Que sonrían las que ya les metí
En un VIP,  un VIP, ey
Saluden a Tití
Vamo' a tirarno' un selfie, say ""cheese""
Que sonrían las que ya se olvidaron de mí
[Interludio]
Oye, muchacho 'el diablo azaroso
Suelta ese mal vivir que tú tiene' en la calle
Búscate una mujer seria pa' ti
Chacho 'el diablo, coño
[Puente: Bad Bunny]
Yo quisiera enamorarme
Pero no puedo, pero no puedo, eh, eh
Yo quisiera enamorarme
Pero no puedo, pero no puedo
[Verso 2: Bad Bunny]
Sorry, yo no confío, yo no confío
Nah, ni en mí mismo confío
Si quiere' quedarte hoy que hace frío
Y mañana te va', nah
Muchas quieren mi baby gravy
Quieren tener mi primogénito, ey
Y llevarse el crédito
Ya me aburrí, hoy quiero un totito inédito, je
Uno nuevo, uno nuevo, uno nuevo, uno nuevo (Ey)
Hazle caso a tu amiga, ella tiene razón
Yo vo'a romperte el corazón, vo'a romperte el corazón
Ey, no te enamore' de mí (No, no)
No te enamore' de mí (No, no), ey
Sorry, yo soy así (Así, así), ey
No sé por qué soy así (Ey)
Hazle caso a tu amiga, ella tiene razón
Yo vo'a romperte el corazón, vo'a romperte el corazón (Ey, ey)
No te enamore' de mí (No)
No te enamore' de mí (No), no
Sorry, yo soy así
Ya no quiero ser así, no
[Outro Instrumental]"
Bad Bunny,Efecto,"[Letra de ""Efecto""]
[Intro]
Yeah-yeah-yeah-yeah-yeah-yeah
Eh-eh-eh-eh
[Pre-Coro]
No sé si es casualidad que yo me sienta así
Siempre que tú estás cerquita de mí
Dime qué me hiciste, qué droga me diste
Que desde aquella noche no soy igual
Tú me mira' y empiezo a sudar
Siento que puedo volar
[Coro]
Baby, la nota ya está haciendo efecto
Mi mundo está jodío' y me siento perfecto
Porque estás tú, aquí, moviéndote así, no pare'
Baby, tú eres mi droga, esta noche no le baje'
Porque la nota ya está haciendo efecto
Mi mundo está jodío' y me siento perfecto
Porque estás tú, aquí, moviéndote así, no pare'
Baby, tú eres mi droga, esta noche no le baje'
[Post-Coro]
Esta no, esta sí
Esta no, esta sí
Esta no, esta sí
Esta no, esta sí
[Verso]
El gatito tuyo te perdió por negligencia
Y yo que no creo en la abstinencia
Esta noche en la cama va a haber turbulencia'
Qué rico tú mama', te vo'a dar la permanencia'
Ese totito e' la eminencia
Pa' darle tengo licencia
Desde que fuimo' a Florencia
Se puso más bicha, pero no pierde la esencia
No, no, de Carola
No, no, no, no anda sola
No, no, no le diga' ""hola""
O va' a ser otro pa' la cola
Tu piquete me mola
Yo soy fan de esa popola (Mua, mua)
Más las picky, las endo, la coca y la rola (Más nada)
Eres tú quien me controla, eh (Jeje)
[Puente]
En tus ojo' veo el mar, mami, llévame en tu ola (Tú eres mala)
Hoy me siento bien puta, re piola, ey
[Coro]
Porque la nota ya está haciendo efecto
Mi mundo está jodío' y me siento perfecto
Porque estás tú, aquí, moviéndote así, no pare'
Baby, tú ere' mi droga, esta noche no le baje'"
Bad Bunny,Moscow Mule,"[Letra de ""Moscow Mule""]
[Intro]
Si yo no te escribo, tú no me escribe', ey
Si tú quieres, te busco, yo sé dónde tú vive'
Quizá hoy está aborrecía'
Pero por dentro tú tiene' alegría
[Coro]
Si quieres te la saco
Dos trago' y sabes que me pongo bellaco
No somo' na', pero estamo' envuelto' hace rato, oh-oh
WhatsApp sin el retrato, no guarda mi contacto (¡Ey, ey, ey, ey!)
Pero se la saco
Dos trago' y sabes que me pongo bellaco
No somo' na', pero estamo' envuelto' hace rato, oh-oh
WhatsApp sin el retrato, no guarda mi contacto-to
[Verso 1]
Todo e' underwater (Ey)
Baby, vamo' pa'l cuarto quarter
En la Uru' comiéndono' el pare
Te vo'a dar duro pa' que no me compare', ey
Cuida'o con ese mahón, que se va a romper (Ey)
Ese booty lo va a romper (Ey)
Yo no sé si yo te vuelvo a ver
Si mañana me vo'a perder
Tú ere' una player, me hiciste un crossover
Esta ve' metiste, me diste game over, eh-eh (Huh)
Porque no puedo olvidar
El perreo aquel que se fue viral
Dime si mañana te va' a quedar
Después de la alarma te lo voy a dar, ey
Hoy tú no va' a trabajar, jeje, no
[Coro]
Si quieres te la saco
Dos trago' y sabes que me pongo bellaco
No somo' na', pero estamo' envuelto' hace rato, oh-oh
WhatsApp sin el retrato, no guarda mi contacto
Pero se la saco
Dos trago' y sabes que me pongo bellaco
No somo' na', pero estamo' envuelto' hace rato, oh-oh
WhatsApp sin el retrato, no guarda mi contacto
[Verso 2]
Me gustan así, piquetúa
Mami, qué rica te ve' esnúa'
Quizás no sentiste lo que yo sentí
Pero aún te debo una noche en la suite
Pa' darte tabla; dale, mami, habla
Tú ere' una diablona, no te haga'
Pa' darte tabla; dale, mami, habla
Tú ere' una diablona, no te haga'
[Puente]
No, no, no, no (No, no, no, no)
No, no, no, no (No, no, no, no)
No, no, no, no (No, no, no, no)
Ey, yo no sé tú, pero yo quisiera amanecer esnú'
En una playa por Bali, si no, Cancún
Pide otro moscow mule (Ey)
[Verso 3]
Que ando en nota, nota
Ven y choca
Conmigo que se joda
Baby, tú 'tás grandota
Pero hoy ando en nota, nota
Ven y choca
Conmigo que se joda, eh
Que se joda, ey
[Outro]
Mami, tú quiere' perreo (Tú quiere' perreo)
Tú quiere' perreo (Tú quiere' perreo)
Tú quiere' bellaqueo (Tú quiere' bellaqueo)
Tú quiere' bellaqueo (Tú quiere' bellaqueo)
Mami, tú quiere' perreo (Tú quiere' perreo)
Tú quiere' perreo (Tú quiere' perreo)
Tú quiere' bellaqueo (Tú quiere' bellaqueo)
Tú quiere' bellaqueo (Tú quiere' bellaqueo)"
Metro Boomin,Creepin' (with The Weeknd & 21 Savage),Lyrics Not Found
Omar Apollo,Frío,"[Letra de ""Frío""]
[Coro]
Y no puedo amarte
De vuelta
Me besas
Con fuerza
No me sueltas
Acábame
La tristeza
Y no puedo amarte
De vuelta
Me besas
Con fuerza
No me sueltas
Acábame
La tristeza
[Verso 1]
No puedo
Con este dolor, dolor
Y ya acabe contigo, contigo
Tu negaste tanto amor, amor
Me dejaste frío, frío
[Pre-Coro]
Y cada vez que te veo en la calle
Que me va todo bien y tú sabes
Te la pasas llamando a mis padres
¿Que no ves que no somos iguales?
Y cada vez que te veo en la calle
Que me va todo bien y tú sabes
Te la pasas llamando a mis padres
¿Que no ves que no somos iguales¿
[Coro]
Y no puedo amarte
De vuelta
Me besas
Con fuerza
Ay, no me sueltas
Acábame
La tristeza
Y no puedo amarte
De vuelta
Me besas
Con fuerza
Ay, no me sueltas
Acábame
La tristeza
[Post-Coro]
Y cada vez que te veo en la calle
(De vuelta; Me besas)
Te la pasas llamando a mis padres
(Acábame; la tristeza)
Y cada vez que te veo en la calle
(De vuelta; Me besas)"
Christian Kuria,Deep Green,"[Verse 1]
Guess I did see it coming
Made it look easy, we barely even had to try
Ride around town 'til the morning (Yeah)
Braving the breeze as we stare at passing satellites
[Pre-Chorus]
You told me you would take aim
But it's not even an option
You fake everything
And now that it's all in the open
Everything's clear as daylight
[Chorus]
Deep green
Running 'cross your surface like oceans
Of emotions
Deep green
I can read it all in the motion
Don't you make a sound
[Verse 2]
Clearly, you don't understand
Got your own reasons to drag it to the bitter end
Talking all night
'Cause you know wherе it's going
Setting the room on fire
Likе you don't care
If it's unfair
And you never look back
[Pre-Chorus]
You told me you would take aim
But it's not even an option
You change everyday
And now that's it's all in the open
Everything's clear as daylight
[Chorus]
Deep green
Running 'cross your surface like oceans
Of emotions
Deep green
I can read it all in the motion
Don't you make a sound
Always deep green
Running cross your surface like oceans
Of emotions
Deep green
I can read it all in the motion
Know it's over now
[Outro]
Deep green
(Don't you make a sound)
Deep green
(Know it's over now)
Deep green"
Grimes,Genesis,"[Chorus]
My heart, I never be, I never see, I never know
Oh, heart, and then it falls, and then I fall, and then I know
My heart, I never be, I never see, I never know
Oh, heart, and then it falls, and then I fall, and then I know
My heart, I never be, I never see, I never know
Oh, heart, and then it falls, and then I fall, and then I know
My heart, I never be, I never see, I never know
Oh, heart, and then it falls, and then I fall, and then I know
[Post-Chorus]
My
My
My
Ever see, ever be, ever know my heart (My)
Ever see, ever be, ever know my heart
[Refrain]
Home, and they know
I'm the vagabond
It's always different
I'm the one in love
Home, and they know
I'm the vagabond
It's always different
I'm the one in love
Home, and they know
I'm the vagabond
It's always different (I'm the one in love)
I'm the one in love
Home, and they know
I'm the vagabond
It's always different (I'm the one in love)
I'm the one in love
[Chorus]
My heart, I never be, I never see, I never know
Oh, heart, and then it falls, and then I fall, and then I know
My heart, I never be, I never see, I never know
Oh, heart, and then it falls, and then I fall, and then I know
[Post-Chorus]
Ever see, ever be, ever know my heart
Ever see, ever be, ever know
[Refrain]
Home, and they know
I'm the vagabond
It's always different
I'm the one in love
Home, and they know
I'm the vagabond
It's always different
I'm the one in love
Home, and they know
I'm the vagabond
It's always different
I'm the one in love
Home, and they know
I'm the vagabond
It's always different
I'm the one in love"
The Weeknd,After Hours,"[Verse 1]
Thought I almost died in my dream again (Baby, almost died)
Fightin' for my life, I couldn't breathe again
I'm fallin' in too deep (Oh, oh)
Without you, I can't sleep (Fallin' in)
'Cause my heart belongs to you
I'll risk it all for you
I want you next to me
This time, I'll never leave
I wanna share babies
Protection, we won't need
Your body next to me
Is just a memory
I'm fallin' in too deep, oh
Without you, I can't sleep
Insomnia relieve, oh
Talk to me, without you, I can't breathe
[Verse 2]
My darkest hours
Girl, I felt so alone inside of this crowded room
Different girls on the floor, distractin' my thoughts of you
I turned into the man I used to be, to be
Put myself to sleep
Just so I can get closer to you inside my dreams
Didn't wanna wake up 'less you were beside me
I just wanted to call you and say, and say
[Chorus]
Oh, baby
Where are you now when I need you most?
I'd give it all just to hold you close
Sorry that I broke your heart, your heart
[Verse 3]
Never comin' down, uh
I was running away from facin' reality, uh
Wastin' all of my time out living my fantasies
Spendin' money to compensate, compensate
'Cause I want you, baby, uh
I be livin' in heaven when I'm inside of you
It was simply a blessing wakin' beside you
I'll never let you down again, again
[Chorus]
Oh, baby
Where are you now when I need you most?
I'd give it all just to hold you close
Sorry that I broke your heart, your heart
I said, baby
I'll treat you better than I did before
I'll hold you down and not let you go
This time, I won't break your heart, your heart, yeah
[Bridge]
I know it's all my fault
Made you put down your guard
I know I made you fall
Then said you were wrong for me
I lied to you, I lied to you, I lied to you (To you)
Can't hide the truth, I'd stay with her in spite of you
You did some things that you regret, still ride for you
'Cause this house is not a home
[Chorus]
Without my baby
Where are you now when I need you most?
I gave it all just to hold you close
Sorry that I broke your heart, your heart
And I said, baby
I'll treat you better than I did before
I'll hold you down and not let you go
This time, I won't break your heart, your heart, no"
Beyoncé,ALIEN SUPERSTAR,"[Intro]
Please do not be alarmed, remain calm
Do not attempt to leave the dance-floor
The DJ booth is conducting a troubleshoot test of the entire system
[Verse 1]
I'm one of one, I'm number one, I'm the only one
Don't even waste your time trying to compete with me (Don't do it)
No one else in this world can think like me (True)
I'm twisted (Twisted), I'll contradict it
Keep him addicted, lies on his lips, I lick it
[Pre-Chorus]
Unique
That's what you are
Stilеttos kicking vintage crystal off the bar
Category: bad bitch, I'm thе bar
Alien superstar
Whip, whip
[Chorus]
I'm too classy for this world, forever, I'm that girl
Feed you diamonds and pearls, ooh, baby
I'm too classy to be touched, I paid them all in dust
I'm stingy with my love, ooh, baby
[Post-Chorus]
I'm (U-N-I-Q-U-E)
Ooh, I'm stingy with my love, ooh, baby
I'm (U-N-I-Q-U-E)
Ooh, I'm stingy with my love (Unique)
[Verse 2]
Unicorn is the uniform you put on
Eyes on you when you perform
Eyes on I when I put on
Mastermind in haute couture
Label whores can't clock, I'm so obscure
 (Unique)
Masterpiece, genius
Drip intravenous
Patty cake on that wrist
Tiffany Blue billboards over that ceiling (Unique)
We don't like plain
Always dreamed of paper planes
Mile-high when I rodeo
Then I come down and take off again (Unique)
You see pleasure in my glare
Look over my shoulder and you ain't scared
The effects you have on me when you stare
Head on a pillow, hike it in the air
[Chorus]
I'm too classy for this world, forever, I'm that girl
Feed you diamonds and pearls, ooh, baby
I'm too classy to be touched, I paid them all in dust
I'm stingy with my love, ooh, baby
[Post-Chorus]
I got pearls beneath my legs, my lips, my hands, my hips
 (U-N-I-Q-U-E)
I got diamonds beneath my thighs where his ego will find bliss
Can't find an ocean deep that can compete with this cinnamon kiss (U-N-I-Q-U-E)
Fire beneath your feet, music when you speak, you're so unique
[Bridge]
(Unique)
That's what you are
Lingerie reflecting off the mirror on the bar
Category: sexy bitch, I'm the bar
Alien superstar
[Outro: Beyoncé & 
Barbara Ann Teer
]
We dress a certain way
We walk a certain way
We talk a certain way
We, we paint a certain way
We, we make love a certain way, you know?
All of these things we do in a different
Unique, specific way that is personally ours
We just reaching out to the solar system
We flying over bullshit, we flying over
Supernatural love up in the air
I just talk my shit, Casanova
Superstar, supernova
Power, pull 'em in closer
If that's your man, then why he over here? (
Unique
)"
Daft Punk,Instant Crush (feat. Julian Casablancas),"[Verse 1]
I didn't want to be the one to forget
I thought of everything I'd never regret
A little time with you is all that I get
That's all we need because it's all we can take
One thing I never see the same when you're 'round
I don’t believe in him, his lips on the ground
I wanna take you to that place in the Roche
But no one gives us any time anymore
He asks me once if I'd look in on his dog
You made an offer for it, then you ran off
I got this picture of us kids in my head
And all I hear is the last thing that you said
[Pre-Chorus]
""I listened to your problems, now listen to mine""
I didn't want to anymore, oh-oh-oh
[Chorus]
And we will never be alone again
'Cause it doesn't happen every day
Kinda counted on you being a friend
Can I give it up or give it away?
Now I thought about what I wanna say
But I never really know where to go
So I chained myself to a friend
'Cause I know it unlocks like a door
And we will never be alone again
'Cause it doesn't happen every day
Kinda counted on you being a friend
Can I give it up or give it away?
Now I thought about what I wanna say
But I never really know where to go
So I chained myself to a friend
Some more again
[Verse 2]
It didn't matter what they wanted to see
He thought he saw someone that looked just like me
The summer memory that just never dies
We worked too long and hard to give it no time
He sees right through me, it's so easy with lies
Cracks in the road that I would try and disguise
He runs his scissors at the seam in the wall
He cannot break it down or else he would fall
One thousand lonely stars hiding in the cold
Take it, oh, I don't wanna sing anymore
[Instrumental Break]
[Pre-Chorus]
""I listened to your problems, now listen to mine""
I didn't want to anymore, oh-oh-oh
[Chorus]
And we will never be alone again
'Cause it doesn't happen every day
Kinda counted on you being a friend
Can I give it up or give it away?
Now I thought about what I wanna say
But I never really know where to go
So I chained myself to a friend
'Cause I know it unlocks like a door
And we will never be alone again
'Cause it doesn't happen every day
Kinda counted on you being a friend
Can I give it up or give it away?
Now I thought about what I wanna say
But I never really know where to go
So I chained myself to a friend
'Cause I know it unlocks like a–
[Bridge]
I don't understand, don't get upset
I'm not with you
We're swimming around, it's all I do
When I'm with you
[Chorus]
And we will never be alone again
'Cause it doesn't happen every day
Kinda counted on you being a friend
Can I give it up or give it away?
Now I thought about what I wanna say
But I never really know where to go
So I chained myself to a friend
'Cause I know it unlocks like a door
And we will never be alone again
'Cause it doesn't happen every day
Kinda counted on you being a friend
Can I give it up or give it away?
Now I thought about what I wanna say
But I never really know where to go
So I chained myself to a friend
'Cause I know it unlocks like a door
[Produced by Daft Punk, Julian Casablancas, John ""JR"" Robinson, & Nathan East]"
Cannons,Goodbye,"[Verse 1]
I'm just looking out the windowsill
The sun is low, the tide is high
Under the red-moon sky
That's when you said goodbye
And you said
You said you'd save my soul
You said you'd set me free
Don't know what you've done to me
Maybe I, maybe I need you tonight
[Chorus]
Come back and work it out with me
It's plain to see
I need you, but do you need me?
Come back and work it out with me
I'm on my knees
I need you, but do you need me?
[Verse 2]
I'm just looking out the windowsill
The key is lost and so is the high
On that velvet night
That's when we said goodbye
And there was
There's nothing left to see
There's nothing left of me
Don't know how to let you lеave
But maybe I, maybe I'm out of my mind
[Chorus]
Comе back and work it out with me
It's plain to see
I need you, but do you need me?
Come back and work it out with me
I'm on my knees
I need you, but do you need me?"
Labrinth,Covering,"[Verse 1]
Mm, my candlelight
Burnin' up like Palo Santo through the night
You, you by my side
Feelin' like my four-leaf clover every time
[Pre-Chorus]
Don't let go
You could be my sa—, my savin' grace
Now go float
Turnin' to the sky got me feelin' invisible
[Chorus]
Like a charm 'round my neck
Like a prayer, prayer to protect
Feels like something's in the air
And it's watchin' all my steps
Oh, I feel you coverin' all over me
I feel you coverin' all over me, oh no
I feel the love and it's all over me
Pick me in the dark when you're all over me, oh, oh-oh
[Verse 2]
Mm, now I feel safe
Under your protection, your sacred embrace
Love is God, baby, love is God, baby
Feel the whole universe in your arms, baby, yeah
And I'm 'bout to go to space
[Pre-Chorus]
So don't let go
You know you're my sa—, my savin' grace
Now go float
Turnin' to the sky got me feelin' sensational
[Chorus]
Like a charm 'round my neck
Like a prayer, prayer to protect
Feels like something's in the air
And it's watchin' all my steps
Oh, I feel you coverin' all over me
I feel you coverin' all over me, oh no
I feel the love and it's all over me
Pick me in the dark when you're all over me, oh, oh-oh
[Vocalization Outro]"
Lana Del Rey,Let The Light In (feat. Father John Misty),"[Verse 1: Lana Del Rey]
Pick you up at home, quarter to three
Ask you if you want somethin' to eat
Drive around, get drunk, do it over again
Wake you up at night, quarter to one
I can never stop, wanna have fun
Don't be actin' like I'm the kinda girl who can sleep
[Pre-Chorus: Lana Del Rey]
'Cause every time you say you're gonna go
I just smile, 'cause, babe, I already know
You know I got nothin' under this overcoat
[Chorus: Lana Del Rey & Father John Misty]
Ooh, let the light in
At your back door yelling 'cause I wanna come in
Ooh, turn your light on
Look at us, you and I, back at it again
[Verse 2: Lana Del Rey]
Pick you up around quarter to two
Usually we got nothin' to do
Screw it, maybe you should go and record some of your songs
Got my dress on tight
 'cause you know that I
Look shinin' in the light, therе's so much ridin'
On this life and how we write a lovе song
[Chorus: Lana Del Rey & Father John Misty]
Ooh, let the light in
At your back door yelling 'cause I wanna come in
Ooh, turn your light on
Look at us, you and I, back at it again
[Bridge: Lana Del Rey]
'Cause I love to love, to love, to love you
I hate to hate, to hate, to hate you
Put 
the Beatles
 on, light the candles, go back to bed
'Cause I wanna, wanna, wanna want you
I need to, need to, need to need you
Put the TV on, the flowers in a vase, lie your head
[Chorus: Lana Del Rey & Father John Misty]
Ooh, let the light in
At your back door yelling 'cause I wanna come in
Ooh, turn your light on
Look at us, you and me, back at it again"
The Neighbourhood,Cry Baby,"[Verse 1]
I think I talk too much
I need to listen, baby
I need to listen, baby
I need to listen good
I think I try too hard
How I look, what I do, what I'm sayin'
I spend too much time explainin' myself
I hope there's some time to change it
[Pre-Chorus]
I can taste it, my heart's breakin', please don't say
That you know, when you know
I can't take it, I'm impatient, tell me, baby
Now I know, you should go
[Chorus]
I know I'll fall in love with you, baby
And that's not what I wanna do
I hope you won't ever lie to me
And if you do, I know I won't be your cry baby
[Verse 2]
I think I worry a lot
I need to take it easy
I've got this anxious feeling
But it goes away for a minute when I'm with you, breathing
[Pre-Chorus]
I can taste it, my heart's breakin', please don't say
That you know, when you know
I can't take it, I'm impatient, tell me, baby
Now I know, you should go
[Chorus]
I know I'll fall in love with you, baby
And that's not what I wanna do
I hope you won't ever lie to me
And if you do, I know I won't be your cry baby
[Bridge]
The Sun's coming out but I'm feeling colder
I can't wait 'til the drought is over
[Chorus]
I know I'll fall in love with you, baby
Yeah, that's just what I'll do
I hope you won't ever lie to me
And if you do, I know I won't be your cry baby
I 
know I'll fall in love with you, baby
And that's not what I wanna do
I hope you won't ever lie to me
And if you do, I know I won't be your cry baby
[Outro]
Cry baby, cry baby
I need to cry, baby
Cry baby, cry baby
You need to cry, baby
Cry baby, cry baby
We need to cry
And if we do, I know that would be alright"
